# ORGANIZATION BILLING SUMMARY
Period Start,Period End,Total Cost,Currency,Project Count
2026-05-23,2026-06-22,14631.07,INR,1

# PROJECT BREAKDOWN
Project ID,Project Name,Total Cost,Currency
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,14631.07,INR

# BILLING ANOMALIES
Project ID,Project Name,Service,Date,Daily Cost,7-Day Avg,% Change,Currency,Severity
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Compute Engine,2026-06-04,22.5292,0.0172,131101.7,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Cloud Logging,2026-05-24,0.5318,0.0031,17054.8,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Compute Engine,2026-06-05,311.6659,3.2339,9537.4,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Vertex AI,2026-06-17,1.7939,0.0717,2403.4,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Cloud Logging,2026-05-25,1.5232,0.1088,1299.5,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Cloud Logging,2026-05-26,2.6946,0.3446,682.0,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Vertex AI,2026-06-21,2.3876,0.3592,564.7,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Cloud Logging,2026-05-27,2.9219,0.6803,329.5,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,VM Manager,2026-06-05,12.9195,3.4452,275.0,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Artifact Registry,2026-05-30,0.0049,0.0018,177.4,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Cloud Logging,2026-05-28,2.9618,1.0977,169.8,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Compute Engine,2026-05-24,22.692,8.9163,154.5,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Container Registry Vulnerability Scanning,2026-05-25,344.162,147.498,133.3,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Networking,2026-05-25,166.8347,72.3251,130.7,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Cloud Logging,2026-05-29,3.4534,1.5208,127.1,INR,CRITICAL
dhg-vaccine-rateauto-nonpord, dhg-vaccine-rateauto-nonpord,Artifact Registry,2026-05-26,0.0028,0.0013,124.0,INR,CRITICAL
